symbol,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,HCT-116,HCT-15,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62
CYCS,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,-1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,0,1
CYCSP52,0,1,-1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,-1,0,1,1,0,1,0,0,0,-1,0,1,0,1,1,-1,0
CYFIP1,0,0,1,0,-1,0,1,0,0,-1,-1,0,0,0,0,-1,-1,-1,0,1,0,0,2,-1,1,-1,0,-1,1,0,1,0,0,-1,0,-1,0,1,1,0
CYFIP2,0,1,0,0,1,1,0,-1,0,0,-1,0,0,0,1,1,0,1,1,1,1,1,2,1,2,0,1,1,1,1,1,-1,0,0,1,0,1,1,-1,-1
CYGB,0,1,1,1,-1,1,0,1,0,1,-1,0,0,-1,1,-1,0,1,0,1,1,1,1,1,1,0,1,1,-1,1,0,1,0,-1,0,1,1,1,-1,0
CYHR1,1,1,1,-1,1,1,0,1,0,1,2,1,0,1,2,0,0,-1,2,-1,1,0,2,2,1,-1,1,0,1,-1,0,1,0,0,0,-1,1,-1,0,0
CYLC2,0,1,0,0,1,0,1,0,-2,-1,-1,0,0,0,1,0,0,-1,0,1,0,-1,-1,-1,0,-1,0,0,1,0,0,1,1,1,0,0,-1,1,-2,-1
CYLD,0,0,0,1,-1,1,0,0,0,-1,-1,0,0,0,-1,-1,-1,1,0,1,0,-1,2,1,0,1,-1,1,-2,-1,-1,-1,1,-1,0,1,-1,0,-1,-1
CYMP,0,-1,-1,0,1,0,-1,0,0,1,1,0,1,0,0,-1,1,1,0,-1,1,-1,-1,1,1,-1,1,0,1,2,1,-1,0,0,0,0,-1,1,-1,1
CYP1A1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,0,1,-1,-1,-1,-1,-1,1,-1,0,1,-1,0,0,-1,-1,0,0,-1,1,-1,-1
CYP1A2,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,0,1,-1,-1,-1,-1,-1,1,-1,0,1,-1,0,0,-1,-1,0,0,-1,1,-1,-1
CYP1B1,0,1,1,1,-1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,-1,0,0,1,0,-1,0,1,1,0,-1,0,0,-1,0,1,1
CYP1B1-AS1,0,1,1,1,-1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,-1,0,0,1,0,-1,0,1,1,0,-1,0,0,-1,0,1,1
CYP2A6,-1,1,1,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,-1,0,1,-1,-1,-1,-1,1,-1,-1,-1,0,1,1,-1,1,-1,0,0,0,-1,-1,-1,0,0
CYP2A7,-1,1,1,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,-1,0,1,-1,-1,-1,-1,1,-1,-1,-1,0,1,1,-1,1,-1,0,0,0,-1,-1,-1,0,0
CYP2A13,-1,1,1,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,-1,0,1,-1,-1,-1,-1,1,-1,-1,-1,0,1,1,-1,1,-1,0,0,0,-1,-1,-1,0,0
CYP2B6,-1,1,1,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,-1,0,1,-1,-1,-1,-1,1,-1,-1,-1,0,1,1,-1,1,-1,0,0,0,-1,-1,-1,0,0
CYP2B7P,-1,1,1,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,-1,0,1,-1,-1,-1,-1,1,-1,-1,-1,0,1,1,-1,1,-1,0,0,0,-1,-1,-1,0,0
CYP2C8,0,1,0,1,0,1,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,1,1,1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,1,0,-1,-1
CYP2C9,0,1,0,1,0,1,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,1,1,1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,1,0,-1,-1
CYP2C18,0,1,0,1,0,1,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,1,1,1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,1,0,-1,-1
CYP2C19,0,1,0,1,0,1,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,1,1,1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,1,0,-1,-1
CYP2D6,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,1,-1,2,1,1,-1,-1,0,-1,-1,-1,-1,0
CYP2D7,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,1,-1,2,1,1,-1,-1,0,-1,-1,-1,-1,0
