symbol,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,HCT-116,HCT-15,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62
ZNF19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ZNF195,5,5,6,6,2,6,3,8,3,1,0,7,12,12,6,3,4,3,4,4,15,8,2,2,6,3,2,3,2,5,5,5,2,2,8,18,2,4,4,6
ZNF20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF200,1,1,2,2,1,1,2,1,5,0,0,2,1,3,2,1,1,1,2,1,2,2,1,1,1,2,0,1,1,3,1,1,2,1,2,2,2,2,1,1
ZNF205,2,3,3,5,3,3,5,5,9,3,2,6,5,6,5,4,3,6,5,4,6,3,4,9,4,4,5,5,3,6,3,4,5,3,0,6,6,5,4,3
ZNF212,6,5,3,7,3,7,4,4,5,11,3,6,8,5,5,6,7,5,9,2,6,4,6,7,7,7,5,7,4,4,3,8,2,5,7,9,4,5,3,4
ZNF221,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,2,1,1
ZNF222,0,0,2,0,1,1,1,1,0,1,1,2,2,6,1,0,1,2,2,0,2,1,1,1,0,0,0,1,2,1,1,1,1,2,0,2,0,3,1,2
ZNF223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF224,1,0,1,1,0,1,1,3,5,0,0,1,1,3,1,1,1,2,1,0,1,1,1,0,0,1,0,1,2,3,1,1,1,1,4,3,1,4,1,1
ZNF225,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ZNF226,1,1,2,1,2,2,2,2,5,1,1,2,1,6,3,2,2,3,2,1,2,2,1,1,1,1,0,3,3,3,2,2,2,3,2,2,3,4,3,3
ZNF227,1,1,3,1,2,1,2,3,2,1,1,3,2,4,3,2,1,4,2,2,3,2,2,2,1,2,1,3,2,3,2,2,2,2,3,2,2,3,3,3
ZNF229,0,0,3,0,2,1,2,0,0,2,1,0,0,0,0,0,0,5,3,1,0,1,1,2,0,1,1,3,0,3,0,0,4,1,0,0,0,0,2,2
ZNF23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ZNF230,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0
ZNF234,0,1,1,1,1,0,2,1,4,1,0,2,0,3,2,1,1,2,1,1,4,1,1,1,0,0,0,2,2,3,2,1,2,1,0,3,2,4,2,3
ZNF235,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1
ZNF248,2,1,1,1,1,2,2,3,3,1,0,2,3,2,1,2,1,1,1,1,4,4,3,1,18,1,0,1,1,4,1,1,3,1,3,4,3,1,1,1
ZNF25,3,1,1,1,2,3,1,2,2,2,2,0,1,1,2,1,1,0,1,1,2,3,1,0,1,0,0,1,1,5,2,1,4,2,3,1,2,2,0,1
ZNF250,2,0,0,0,2,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,2,3,3,2,1,1,0,1,1,0,0,2,1,1,1,2,1,0,0
ZNF251,4,3,3,1,8,2,1,8,8,2,4,0,3,7,3,5,3,4,3,1,6,7,7,5,9,2,2,1,4,3,3,1,2,4,2,4,4,3,4,3
ZNF253,1,0,0,0,2,0,1,0,1,1,0,0,5,8,0,2,1,4,0,0,6,1,0,1,0,3,1,0,1,2,0,0,3,2,0,2,2,1,0,0
ZNF254,2,1,2,1,1,1,1,0,1,0,0,2,2,2,0,3,1,0,1,0,2,1,1,0,1,0,0,0,2,1,1,1,1,1,1,1,0,2,2,2
ZNF256,1,0,1,0,2,1,1,0,1,2,2,2,0,0,0,0,1,6,5,0,4,5,2,2,1,4,2,1,2,4,2,2,4,4,0,0,4,3,2,4
ZNF257,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,3,0,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0
ZNF264,1,0,1,0,1,1,1,5,1,0,2,2,0,1,1,0,1,3,1,0,2,1,1,1,1,1,0,1,1,2,1,0,3,2,3,0,1,4,1,1
ZNF268,1,1,2,2,1,1,1,1,0,0,0,1,0,1,1,1,1,1,2,1,2,2,0,1,0,0,0,0,1,1,1,1,2,1,0,1,2,1,0,1
ZNF273,2,0,0,1,0,0,1,1,0,1,0,1,4,1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,3,1,1,0,0,1
ZNF274,1,1,4,3,5,2,3,2,2,3,4,3,7,0,4,2,7,8,6,2,4,4,4,4,2,5,0,1,5,4,1,2,6,5,0,4,7,1,2,4
ZNF282,7,11,7,10,9,9,13,7,13,14,5,12,20,8,10,9,10,10,11,9,12,7,12,10,9,10,13,11,9,13,5,11,5,9,22,21,9,14,8,12
ZNF283,0,1,1,0,1,1,1,1,1,0,0,1,2,2,1,1,0,4,1,0,1,1,0,1,0,0,0,1,1,3,1,1,1,1,0,2,1,2,1,1
ZNF284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZNF3,9,8,5,6,7,4,4,8,7,5,3,9,9,8,6,8,4,5,7,5,15,8,8,3,7,14,4,10,3,8,3,5,2,5,7,13,4,6,5,7
ZNF300,6,1,3,5,8,2,0,0,0,0,1,0,5,0,2,0,0,4,3,0,0,4,2,10,0,6,3,8,5,17,3,4,8,5,0,0,6,4,2,3
ZNF302,3,9,9,1,4,3,6,5,0,3,1,2,0,7,3,2,4,7,4,2,0,5,3,4,3,3,2,4,10,5,4,4,8,7,6,9,4,8,7,3
ZNF304,2,1,1,1,1,1,1,2,0,1,2,2,1,2,0,0,3,5,2,1,4,3,4,2,2,3,1,2,2,2,2,2,3,4,4,0,3,3,2,3
ZNF311,0,0,0,0,0,0,1,0,2,0,0,0,8,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1
ZNF320,3,0,0,0,2,2,2,3,7,5,1,9,4,12,0,0,3,5,0,0,5,3,0,1,2,3,2,0,1,4,0,2,10,2,0,4,4,3,5,3
ZNF324,0,1,1,0,1,0,1,1,4,1,0,1,2,1,0,1,2,2,1,0,2,1,4,1,2,2,1,2,1,1,1,1,1,2,2,2,1,1,1,2
ZNF324B,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,2,0,1,1,0,2,1,1,1,1,1,1,1,1,1,2,1,1
ZNF331,3,0,3,0,2,0,3,0,0,2,2,3,1,0,0,3,4,2,2,0,3,14,6,3,3,6,1,2,2,5,3,2,4,2,0,0,1,4,5,3
ZNF333,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1
ZNF334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,4,0
ZNF337,0,1,1,0,1,0,6,10,10,1,1,2,0,1,1,2,0,1,1,1,2,1,0,0,1,1,0,0,0,6,0,1,1,0,5,12,1,7,1,2
ZNF33A,7,2,3,3,7,5,5,8,6,4,0,5,6,8,2,5,5,5,3,2,8,11,6,3,7,5,1,2,3,6,3,2,8,2,6,7,7,2,2,1
ZNF34,0,0,1,0,3,0,1,3,2,2,2,0,2,3,1,3,1,1,1,1,2,1,2,3,2,1,1,1,1,1,0,1,1,2,1,1,2,1,2,2
ZNF343,1,1,4,1,3,1,1,3,2,2,2,4,1,3,2,1,2,3,3,3,3,2,2,0,3,3,2,2,1,5,4,3,4,3,3,8,3,1,4,4
ZNF347,2,0,0,0,2,1,1,0,0,2,0,1,1,0,0,0,4,3,1,0,2,0,1,1,0,0,2,0,0,1,0,1,4,2,0,0,2,2,0,1
ZNF354A,5,3,5,2,11,4,9,10,4,5,3,2,2,8,3,7,3,14,6,2,9,4,10,6,6,1,5,3,3,7,4,2,8,2,7,6,4,6,2,5
ZNF354B,4,3,2,1,5,1,3,3,3,1,1,1,5,4,2,4,1,5,2,3,5,2,2,2,2,1,1,2,2,6,2,2,6,2,2,3,3,4,2,3
ZNF354C,0,1,1,0,5,0,3,0,0,1,0,0,0,0,0,0,3,4,1,0,3,0,1,4,0,0,2,0,3,4,0,1,5,1,0,0,2,4,0,0
ZNF382,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
ZNF383,0,0,1,0,0,0,1,1,1,0,0,0,0,2,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1
ZNF398,5,2,3,1,3,1,3,4,3,5,2,3,4,3,1,3,3,4,4,3,4,2,4,2,2,3,2,3,2,3,1,3,2,3,5,7,3,4,3,3
ZNF415,1,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,2,4,0,0,4,0,0,2,0,0,1,0,0,0,0,0,5,1,0,0,3,1,1,0
ZNF416,1,0,2,0,1,1,1,1,3,1,1,2,0,2,1,0,2,3,2,0,2,2,2,1,1,1,1,1,1,2,0,1,2,3,1,2,1,2,1,2
ZNF417,1,0,1,1,1,0,1,1,2,1,1,1,2,3,0,1,1,4,1,0,3,2,2,1,0,2,1,1,2,3,1,1,3,2,1,2,2,3,1,1
ZNF420,0,0,2,0,1,0,1,0,1,1,0,1,1,4,0,0,1,2,1,0,3,4,1,1,0,1,1,0,1,2,0,0,2,1,0,3,1,2,1,1
ZNF425,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ZNF43,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,2,1,0,0,4,1,0,2,0,1,2,0,1,2,2,1,3,1,0,0,2,0,3,0
ZNF430,1,0,0,1,1,0,1,1,0,1,1,1,3,5,1,1,1,0,1,0,2,1,1,4,1,1,3,1,1,1,1,1,2,1,1,1,0,1,1,2
ZNF432,3,0,1,1,1,1,1,0,1,1,1,1,1,9,1,0,2,1,2,0,2,1,2,1,1,1,1,1,1,9,2,1,5,1,0,2,1,3,2,3
ZNF433,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,2,0,0,2,1,1,0,1,0,1,0,0,1,0,0,1,2,0,0,3,1,0,0
