kegg_gene,gene_num
EFNA2,725
EFNA3,726
EFNA4,727
EFNA5,728
EFNB2,729
EFNB3,730
EGFR,731
EGLN2,732
EGLN3,733
EGR1,734
EGR2,735
EGR3,736
EHD1,737
EHD2,738
EHD3,739
EHHADH,740
EHMT1,741
EHMT2,742
EI24,743
EIF1B,744
EIF2AK1,745
EIF2AK2,746
EIF2AK3,747
EIF2AK4,748
EIF2B1,749
EIF2B2,750
EIF2B3,751
EIF2B4,752
EIF2B5,753
EIF2S1,754
EIF2S2,755
EIF3A,756
EIF3B,757
EIF3D,758
EIF3F,759
EIF3H,760
EIF3J,761
EIF4A1,762
EIF4A2,763
EIF4A3,764
EIF4B,765
EIF4E,766
EIF4E1B,767
EIF4E2,768
EIF4EBP1,769
EIF4EBP2,770
EIF4G1,771
EIF4G2,772
EIF4G3,773
EIF5,774
ELAVL1,775
ELF5,776
ELMO1,777
ELMO2,778
ELMO3,779
ELOB,780
ELOC,781
ENAH,782
ENO1,783
ENO2,784
ENO3,785
ENO4,786
ENTPD3,787
ENTPD8,788
EP300,789
EPAS1,790
EPB41L4B,791
EPHA1,792
EPHA2,793
EPHA4,794
EPHA5,795
EPHA6,796
EPHA7,797
EPHA8,798
EPHB1,799
EPHB2,800
EPHB3,801
EPHB4,802
EPHB6,803
EPN1,804
EPN3,805
EPO,806
EPOR,807
EPS15,808
EPS15L1,809
ERBB2,810
ERBB3,811
ERBB4,812
ERBIN,813
EREG,814
ERN1,815
ERO1A,816
ERO1B,817
ERP29,818
ESPL1,819
ESR1,820
ESR2,821
ETF1,822
ETS1,823
ETS2,824
EVC,825
EVC2,826
EVL,827
EXOC2,828
EXOC7,829
EZR,830
F10,831
F11R,832
F2R,833
F2RL1,834
F3,835
F5,836
F7,837
FAAP100,838
FAAP24,839
FABP3,840
FADD,841
FADS2,842
FAF1,843
FAN1,844
FANCA,845
FANCC,846
FANCD2,847
FANCE,848
FANCF,849
FANCG,850
FANCI,851
FANCL,852
FANCM,853
FARP2,854
FAS,855
FASN,856
FAT4,857
FBP1,858
FBXL3,859
FBXO25,860
FBXO32,861
FBXO43,862
FBXO5,863
FBXW11,864
FCER2,865
FCGR2A,866
FDPS,867
FER,868
FERMT3,869
FES,870
FFAR1,871
FFAR2,872
FGD3,873
FGF1,874
FGF10,875
FGF17,876
FGF18,877
FGF19,878
FGF2,879
FGF20,880
FGF22,881
FGF3,882
FGF4,883
FGF5,884
FGF6,885
FGF8,886
FGF9,887
FGFR1,888
FGFR2,889
FGFR3,890
FGFR4,891
FGR,892
FHL2,893
FIP1L1,894
FIS1,895
FLCN,896
FLNB,897
FLNC,898
FLOT1,899
FLOT2,900
FLT1,901
FLT3,902
FLT3LG,903
FLT4,904
FN1,905
FNIP1,906
FNIP2,907
FOS,908
FOSB,909
FOSL1,910
FOSL2,911
FOXA2,912
FOXM1,913
FOXO1,914
FOXO3,915
FOXP1,916
