locus_id,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,HCT-116,HCT-15,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MALME-3M,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62
CSNK1D,0.09532,0.10207999999999999,0.0824,0.09149,0.0,0.11145999999999999,0.03955,0.08995,0.058820000000000004,0.08983,0.12904000000000002,0.0543,0.0,0.0,0.03829,0.00415,0.025,0.07749,0.10322,0.09676,0.09014,0.07864,0.08942,0.07048,0.07035,0.05924,0.08047,0.09091,0.06357,0.03435,0.010490000000000001,0.07345,0.00999,0.0,0.025519999999999998,0.07889,0.0973,0.02,0.07824,0.0,0.09154
CSNK1E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSNK1G1,0.0,0.0,0.0565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.1471,0.0303,0.0,0.0,0.0,0.0,0.1471,0.0,0.0,0.0,0.0323,0.0,0.0,0.0,0.0,0.0
CSNK1G2,0.03635,0.13069,0.03285,0.0,0.00454,0.0038,0.029060000000000002,0.00683,0.023780000000000003,0.008790000000000001,0.013630000000000001,0.01601,0.0,0.00033999999999999997,0.0072900000000000005,0.0,0.06383,0.00621,0.02289,0.00265,0.00405,0.010579999999999999,0.00701,0.00465,0.01517,0.00526,0.01055,0.009000000000000001,0.013380000000000001,0.0,0.00322,0.0,0.0112,0.05287000000000002,0.01261,0.08713,0.00861,0.0105,0.00115,0.0,0.01215
CSNK1G3,0.0,0.01461,0.01211,0.0,0.0041,0.0,0.01212,0.0,0.00472,0.0,0.01913,0.0,0.0,0.0018399999999999998,0.00532,0.0,0.0,0.00588,0.01627,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0168,0.0,0.01152,0.03241,0.0,0.0,0.0,0.00701,0.0,0.0,0.00882,0.0,0.0,0.0,0.0
CSNK2A2,0.00288,0.01295,0.0029,0.0,0.0,0.0,0.0,0.0,0.006809999999999999,0.0,0.00435,0.0,0.0015,0.0,0.0,0.0,0.0,0.0198,0.0,0.0,0.00122,0.01103,0.02299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00549,0.0,0.0,0.0,0.0,0.00518
CSNK2B,0.01347,0.02355,0.0059299999999999995,0.0,0.0013,0.0,0.0,0.00193,0.03953,0.0,0.02238,0.0,0.0,0.0,0.00253,0.0,0.0,0.00419,0.00119,0.0007099999999999999,0.00128,0.0,0.0,0.0025800000000000003,0.0081,0.00197,0.00118,0.0,0.0,0.0,0.0,0.0,0.0038799999999999998,0.0,0.0,0.0,0.00343,0.0,0.00172,0.0,0.0
CSTF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSTF2,0.06443,0.25385,0.05339,0.01761,0.00534,0.08133,0.04464,0.03067,0.07572999999999999,0.11364,0.10038,0.36743000000000003,0.0,0.0,0.0819,0.0,0.08926,0.09321,0.051829999999999994,0.04458,0.05637,0.07014,0.10492,0.42135,0.07692,0.07186000000000001,0.17390999999999998,0.05924,0.25392,0.04748,0.06512000000000001,0.026139999999999997,0.0379,0.36537,0.02561,0.11799000000000001,0.0548,0.04167,0.04857,0.08184,0.31419
CSTF2T,0.0274,0.021,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006670000000000001,0.0061,0.0176,0.0204,0.0,0.0,0.0,0.0,0.0,0.0,0.00953,0.0,0.0,0.0,0.01733,0.0,0.00337,0.0,0.0,0.0351
CSTF3,0.21939,0.15869,0.1323,0.151,0.22951,0.1938,0.21645,0.1845,0.15598,0.15133,0.15924000000000002,0.29495,0.24875,0.00103,0.15025,0.16737,0.25201999999999997,0.25126,0.13011,0.38678,0.10605999999999999,0.07595,0.14612999999999998,0.27629000000000004,0.15192999999999998,0.19196,0.08837,0.125,0.14363,0.10670999999999999,0.16136,0.26178,0.15734,0.21481,0.1462,0.09258999999999999,0.16927999999999999,0.16129000000000002,0.1523,0.09877000000000001,0.17785
CTBP1,0.0159,0.06361,0.04052,0.00391,0.04753,0.0,0.03743,0.0075099999999999984,0.00433,0.00218,0.03137,0.00618,0.00091,0.0,0.029339999999999998,0.0297,0.07267,0.00943,0.15067,0.013890000000000001,0.00209,0.12095,0.01529,0.06034,0.00499,0.01318,0.00761,0.03561,0.02139,0.00821,0.0071,0.03665,0.01192,0.02563,0.0,0.0,0.015369999999999997,0.01281,0.031,0.0,0.07843
CTBP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTF1,0.63551,0.8376100000000001,0.35058,0.00878,0.0137,0.15777,0.48123999999999995,0.00939,0.58007,0.00114,0.10717,0.30891,0.0,0.6037,0.36512,0.00695,0.43793000000000004,0.0,0.72592,0.02344,0.10471,0.006940000000000001,0.02266,0.00853,0.0034,0.0,0.54035,0.059739999999999994,0.3444,0.0,0.61557,0.28,0.37082,0.5071399999999999,0.29334,0.8695,0.15045,0.01637,0.61237,0.52613,0.49153
CTNNA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,0.12783,0.0211,0.02021,0.01985,0.00084,0.0024,0.00292,0.07092000000000001,0.04124,0.0,0.02812,0.0031899999999999997,0.0007,0.0,0.015059999999999999,0.0,0.053029999999999994,0.0068200000000000005,0.03267,0.00446,0.01681,0.01736,0.00099,0.00869,0.00875,0.01086,0.00345,0.0,0.01622,0.01678,0.0101,0.007859999999999999,0.00281,0.0347,0.03582,0.033319999999999995,0.0017800000000000001,0.00799,0.054729999999999994,0.02802,0.02107
CTNNBIP1,0.09114,0.013619999999999998,0.02334,0.00877,0.00954,0.00583,0.0,0.0014,0.0,0.0,0.03349,0.0017,0.00625,0.00037999999999999997,0.00233,0.0,0.0,0.02667,0.01595,0.00074,0.00827,0.01319,0.0,0.0,0.00084,0.0,0.00748,0.0,0.01209,0.0,0.0017,0.00457,0.01045,0.00473,0.0,0.01045,0.0,0.0,0.00419,0.0049299999999999995,0.00148
CTNND2,0.65132,0.9538,0.05251,0.80821,0.039389999999999994,0.16956,0.43373999999999996,0.95467,0.9005799999999999,0.75705,0.38001,0.07015,0.0,0.0,0.953,0.165,0.02274,0.91817,0.6402800000000001,0.03113,0.01429,0.0,0.02281,0.06577999999999999,0.03525,0.03324,0.00504,0.03211,0.0,0.19308,0.08789,0.56522,0.011770000000000001,0.07107000000000001,0.03907,0.9207799999999999,0.68281,0.01325,0.00519,0.11260999999999999,0.0495
CTSB,0.20424,0.03549,0.03424,0.01097,0.02245,0.09296,0.01616,0.00805,0.00209,0.00312,0.2339,0.09953,0.0,0.0,0.0984,0.00677,0.09677999999999999,0.08496000000000001,0.06402000000000001,0.00938,0.05616,0.07692,0.04895,0.1103,0.00176,0.04918,0.12439000000000001,0.24916,0.10232000000000001,0.08387,0.11327999999999999,0.28274,0.12219000000000001,0.06882,0.10611,0.13923,0.14565999999999998,0.028730000000000002,0.03825,0.25094,0.19257
CTSC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTSD,0.0,0.04389,0.00707,0.00514,0.0,0.014490000000000001,0.003820000000000001,0.0048200000000000005,0.027389999999999998,0.02131,0.02472,0.00499,0.0014199999999999998,0.0,0.01291,0.0,0.0113,0.00267,0.00432,0.00148,0.0065,0.01354,0.0,0.0,0.0,0.00541,0.01671,0.0,0.01178,0.0,0.00415,0.0,0.01028,0.026680000000000002,0.0,0.20024,0.031,0.00275,0.0082,0.00172,0.00618
