symbol,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,HCT-116,HCT-15,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62
ANGPTL4,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,1,0,0,1,-1,-1,0,-1,0,0,0,-1,-1,-1,0,0
ANK1,-1,0,0,1,0,0,0,0,-1,1,1,0,0,1,-1,-1,-1,1,-1,0,1,-1,1,-1,-1,0,0,1,0,-1,0,0,0,0,0,1,0,-1,0
ANK3,1,0,1,0,1,1,0,0,1,-1,0,1,0,0,0,0,1,0,1,1,1,2,1,2,-1,-1,-1,-1,0,-1,-1,0,-1,0,1,1,0,-1,-1
AOX1,1,0,1,-1,0,-1,0,0,0,1,0,-1,0,1,0,0,0,0,1,1,0,0,-1,0,0,1,0,1,0,1,-1,0,-1,0,1,-1,0,0,1
AP1B1,-1,-1,0,-1,-1,-1,0,0,-1,1,0,-1,0,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,0,-1,1,0,-1,1,1,0,-1,0,-1,-1,-1,-1,1
AP1G1,1,0,1,-1,1,0,0,0,0,-1,0,0,0,0,1,-1,-1,1,0,0,-1,-1,1,-1,1,-1,1,0,0,-1,-1,1,0,0,2,0,0,-1,-1
AP1G2,-1,0,0,-1,-1,-1,0,0,1,-1,0,-1,0,0,-1,0,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,0,-1,-1,0,0,0,0,-1,-1,-1,0
AP1M1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,0,1,-1,-1,-1,-1,1,-1,1,0,0,1,1,-1,1,-1,0,0,0,-1,-1,-1,-1,0
AP1M2,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,-1,0,2,-1,-1,-1,-1,1,1,1,0,0,1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,0
AP1S1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,2,0,0,1,1,1,-1,2,-1,1,1,1,1,0,1,1,1,-1,1,1,1,-1,-1,-1,1
AP1S3,-1,0,1,-1,0,-1,0,0,0,1,0,-1,0,1,-1,-1,-1,0,1,1,0,-1,-1,0,-1,1,0,1,0,1,0,0,-1,0,0,-1,0,1,1
AP2A2,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,1,-2,-1,-1,-1,-1,1,-1,-1,-1,0,-1,2,0,-1,-1,0,-1,-1,-1,0,1,-1,-1,-1,-1
AP2B1,1,1,1,-1,0,0,0,0,0,-1,0,0,0,1,-1,0,-1,0,1,1,-1,-1,-1,-1,0,1,1,0,1,0,0,0,-1,0,0,1,1,0,0
AP2M1,-1,-1,0,0,1,1,0,0,1,1,-1,0,0,0,0,0,-1,1,-1,1,1,0,-1,0,1,-1,0,1,1,1,1,0,1,0,-1,2,1,-1,1
AP2S1,1,1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,-1,1,-1,0,0,0,-1,-1,-1,-1,0
APAF1,-1,0,1,-1,1,0,0,0,0,-1,0,0,1,1,1,0,-1,1,1,-1,0,-1,1,1,0,0,0,0,0,0,1,-1,-1,0,0,1,0,-1,1
