src,dest
ATF2,SIK1
ATF2,UCP1
ATF2,VEGFA
ATF2,VEGFB
ATF2,VEGFC
ATF2,ZNF516
ATF4,ARC
ATF4,BCL2
ATF4,BDNF
ATF4,CCND1
ATF4,CDKN1A
ATF4,CPT1A
ATF4,CPT1B
ATF4,CPT1C
ATF4,CREB3L1
ATF4,CREB3L2
ATF4,CREB3L3
ATF4,CREB5
ATF4,CREBBP
ATF4,CYP17A1
ATF4,DDIT3
ATF4,EP300
ATF4,FOS
ATF4,FOSB
ATF4,G6PC3
ATF4,INS
ATF4,NPY
ATF4,PCK2
ATF4,PCNA
ATF4,PDYN
ATF4,POMC
ATF4,PPARGC1A
ATF4,PPP1R15A
ATF4,PRKN
ATF4,SIK1
ATF4,VEGFA
ATF4,VEGFB
ATF4,VEGFC
ATF6,DDIT3
ATF6B,ARC
ATF6B,ATF1
ATF6B,ATF4
ATF6B,BCL2
ATF6B,BDNF
ATF6B,CCND1
ATF6B,CDKN1A
ATF6B,CREB3L1
ATF6B,CREB3L2
ATF6B,CREB3L3
ATF6B,CREB3L4
ATF6B,CREB5
ATF6B,CYP17A1
ATF6B,DDIT3
ATF6B,FOS
ATF6B,FOSB
ATF6B,INS
ATF6B,NPY
ATF6B,PCNA
ATF6B,PDYN
ATF6B,POMC
ATF6B,VEGFA
ATF6B,VEGFB
ATF6B,VEGFC
ATG10,ATG12
ATG101,ATG13
ATG101,RB1CC1
ATG101,ULK1
ATG101,ULK2
ATG12,ATG3
ATG12,ATG5
ATG12,DDX58
ATG12,GABARAP
ATG12,MAVS
ATG13,ATG101
ATG13,ATG14
ATG13,ATG9A
ATG13,RB1CC1
ATG14,BECN1
ATG14,GABARAP
ATG14,PIK3C3
ATG14,SNAP29
ATG16L1,ATG12
ATG16L1,ATG16L2
ATG16L1,ATG3
ATG16L1,ATG5
ATG16L1,GABARAP
ATG16L2,ATG12
ATG16L2,ATG3
ATG16L2,ATG5
ATG16L2,GABARAP
ATG2A,WIPI1
ATG2A,WIPI2
ATG2B,WIPI1
ATG2B,WIPI2
ATG3,GABARAP
ATG4B,GABARAP
ATG4C,GABARAP
ATG4D,GABARAP
ATG5,ATG12
ATG5,ATG3
ATG5,DDX58
ATG5,GABARAP
ATG5,MAVS
ATG5,MITF
ATG5,TFEB
ATG7,ATG12
ATG7,GABARAP
ATG9A,MITF
ATG9A,TFEB
ATM,BRCA1
ATM,CHEK1
ATM,CHEK2
ATM,SQSTM1
ATM,TP53
ATP1A1,SLC8A1
ATP1A1,SLC8A2
ATP1A1,SLC8A3
ATP1A3,SLC8A1
ATP1A3,SLC8A2
ATP1A3,SLC8A3
ATP1B1,SLC8A1
ATP1B1,SLC8A2
ATP1B1,SLC8A3
ATP1B2,SLC8A1
ATP1B2,SLC8A2
ATP1B2,SLC8A3
ATP1B3,SLC8A1
ATP1B3,SLC8A2
ATP1B3,SLC8A3
ATP6V0A1,EGFR
ATP6V0A2,EGFR
ATP6V0A4,EGFR
ATP6V0B,EGFR
ATP6V0C,EGFR
ATP6V0D1,EGFR
ATP6V0E1,EGFR
ATP6V1A,EGFR
ATP6V1A,LAMTOR2
ATP6V1A,LAMTOR4
ATP6V1B2,EGFR
ATP6V1B2,LAMTOR2
